               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.029617,            0.033847,           0.0037393,             0.65032,             0.68732,             0.69249,             0.43261,            0.032159,            0.024642,            0.010645,            0.004073,            0.004073,            0.004073
                 101,            0.032019,            0.035485,           0.0033467,             0.67189,             0.72676,             0.70551,             0.39896,            0.035184,             0.02554,            0.010704,               0.004,               0.004,               0.004
                 102,            0.030799,            0.034767,           0.0040233,             0.59935,             0.82884,             0.68623,             0.41739,            0.033766,             0.02588,            0.010576,           0.0039279,           0.0039279,           0.0039279
                 103,            0.029761,             0.03253,           0.0031074,             0.59665,             0.80476,             0.68292,              0.4152,            0.032575,            0.025324,            0.010872,           0.0038567,           0.0038567,           0.0038567
                 104,            0.029516,            0.031119,           0.0030891,              0.6412,             0.74085,             0.67826,             0.41147,            0.033777,            0.024868,            0.010893,           0.0037864,           0.0037864,           0.0037864
                 105,            0.030027,            0.037742,           0.0032479,             0.62085,             0.71835,             0.66924,             0.40018,             0.03293,            0.024451,            0.010911,           0.0037171,           0.0037171,           0.0037171
                 106,            0.029692,             0.03798,           0.0039653,              0.6004,             0.77641,             0.65691,             0.39928,             0.03228,            0.024675,            0.011155,           0.0036489,           0.0036489,           0.0036489
                 107,            0.029049,             0.03422,           0.0030552,             0.59565,             0.80834,             0.66849,             0.40021,            0.033076,            0.024464,             0.01092,           0.0035816,           0.0035816,           0.0035816
                 108,            0.029522,            0.042825,           0.0034365,             0.62691,             0.80128,             0.68434,             0.41854,            0.031779,              0.0241,            0.010312,           0.0035154,           0.0035154,           0.0035154
                 109,            0.027127,            0.031429,           0.0027341,              0.7027,             0.78486,             0.72315,             0.42454,            0.032637,            0.024517,           0.0096404,           0.0034503,           0.0034503,           0.0034503
                 110,            0.028278,            0.031285,           0.0036429,             0.75012,             0.78285,             0.74828,             0.43642,            0.033101,            0.024693,           0.0093954,           0.0033863,           0.0033863,           0.0033863
                 111,            0.029225,             0.03622,           0.0030872,             0.71418,             0.75517,             0.73723,             0.43552,             0.03294,            0.024971,           0.0088824,           0.0033235,           0.0033235,           0.0033235
                 112,            0.027188,            0.035036,           0.0030036,             0.66919,             0.77264,             0.71304,             0.42131,            0.032909,            0.024842,           0.0085654,           0.0032618,           0.0032618,           0.0032618
                 113,            0.027157,            0.030396,           0.0029883,             0.68969,             0.77289,             0.71548,             0.42828,            0.032241,            0.024691,           0.0084188,           0.0032013,           0.0032013,           0.0032013
                 114,            0.028256,            0.042125,           0.0032849,             0.60723,             0.80493,             0.69529,             0.42456,             0.03251,            0.025094,           0.0088106,           0.0031421,           0.0031421,           0.0031421
                 115,            0.026947,            0.032323,             0.00288,             0.68111,             0.73732,             0.70975,             0.43464,            0.031928,             0.02495,           0.0091765,           0.0030841,           0.0030841,           0.0030841
                 116,            0.026608,            0.030837,           0.0036877,             0.74161,             0.77324,             0.71422,             0.43353,             0.03184,            0.025252,            0.009835,           0.0030274,           0.0030274,           0.0030274
                 117,            0.027912,            0.034907,           0.0052987,             0.75845,              0.7662,             0.72319,             0.42246,            0.032251,            0.025365,            0.010633,            0.002972,            0.002972,            0.002972
                 118,             0.02496,            0.031224,           0.0027928,              0.7762,             0.76361,             0.71337,             0.43239,            0.031845,            0.025109,           0.0099667,           0.0029179,           0.0029179,           0.0029179
                 119,            0.026374,            0.030666,           0.0025044,             0.75697,             0.75121,             0.71034,             0.42353,            0.032609,            0.025453,           0.0095015,           0.0028652,           0.0028652,           0.0028652
                 120,            0.027418,            0.030029,           0.0027632,             0.73375,             0.73318,             0.72642,             0.42933,             0.03276,            0.025622,           0.0089872,           0.0028139,           0.0028139,           0.0028139
                 121,            0.027131,            0.033789,           0.0025377,             0.74292,             0.70176,              0.7257,             0.43626,            0.032873,            0.025712,           0.0087364,           0.0027639,           0.0027639,           0.0027639
                 122,            0.025024,            0.030694,           0.0023961,             0.76878,             0.67676,             0.72834,             0.43786,            0.032676,            0.025933,           0.0086441,           0.0027154,           0.0027154,           0.0027154
                 123,            0.029012,            0.033162,           0.0022718,             0.74171,              0.7565,             0.75937,             0.40848,              0.0354,            0.026628,           0.0086632,           0.0026683,           0.0026683,           0.0026683
                 124,            0.030355,            0.034989,           0.0026818,              0.8883,             0.63436,             0.73849,             0.42357,            0.033449,            0.026266,           0.0086986,           0.0026227,           0.0026227,           0.0026227
                 125,            0.027502,            0.032578,            0.001997,             0.73162,             0.81937,             0.76541,             0.46021,            0.032306,            0.025684,           0.0087609,           0.0025785,           0.0025785,           0.0025785
